Peak to peak difference (s),frequency,Cursor 1 time,Cursor 2 time,Note
2.08E-07,2.01MHz,-3.50E-07,-1.42E-07,Uncertainty seems to have increased with the greater distance
1.88E-07,2.23MHz,-3.20E-07,-1.32E-07,
1.80E-07,2.42MHz,-2.86E-07,-1.06E-07,
1.74E-07,2.60MHz,-2.62E-07,-8.80E-08,
1.72E-07,2.83MHz,-2.46E-07,-7.40E-08,
1.68E-07,3.01MHz,-2.30E-07,-6.20E-08,
1.54E-07,3.21MHz,-2.18E-07,-6.40E-08,
1.56E-07,3.47MHz,-2.02E-07,-4.60E-08,
1.52E-07,3.63MHz,-1.98E-07,-4.60E-08,
1.84E-07,3.85MHz,-1.94E-07,-1.00E-08,