Distance to Mirror (ft),Distance to Mirror (m),Total Displacement,PtoPtime (nS),delta t (in ns)
15,4.572,0,154,0
17,5.1816,1.2192,158,4
19,5.7912,2.4384,160,6
21,6.4008,3.6576,162,8
23,7.0104,4.8768,164,10
25,7.62,6.096,164,10
27,8.2296,7.3152,166,12
29,8.8392,8.5344,164,10
31,9.4488,9.7536,172,18
33,10.0584,10.9728,186,32
35,10.668,12.192,190,36
37,11.2776,13.4112,194,40
39,11.8872,14.6304,204,50
41,12.4968,15.8496,208,54
43,13.1064,17.0688,218,64
45,13.716,18.288,248,94
47,14.3256,19.5072,250,96
49,14.9352,20.7264,244,90
51,15.5448,21.9456,248,94
53,16.1544,23.1648,250,96
55,16.764,24.384,248,94
57,17.3736,25.6032,250,96
59,17.9832,26.8224,238,84
61,18.5928,28.0416,234,80
63,19.2024,29.2608,236,82
65,19.812,30.48,238,84
67,20.4216,31.6992,240,86